ID,Country or area,Country code,Capital City,Note,Capital Type,City code,Latitude,Longitude,Population (thousands)
1,Afghanistan,4,Kabul,,Capital,20002,34.5289,69.1725,4011.77
2,Albania,8,Tiranë (Tirana),,Capital,20005,41.3275,19.8189,475.58
3,Algeria,12,El Djazaïr  (Algiers),1,Capital,20006,36.7525,3.042,2693.54
4,American Samoa,16,Pago Pago,,Capital,20047,-14.2781,-170.7025,48.53
5,Andorra,20,Andorra la Vella,,Capital,20048,42.5078,1.5211,22.61
6,Angola,24,Luanda,2,Capital,20049,-8.8368,13.2343,7774.2
7,Anguilla,660,The Valley,,Capital,22407,18.217,-63.0578,1.4
8,Antigua and Barbuda,28,St. John's,,Capital,20052,17.1172,-61.8457,20.76
9,Argentina,32,Buenos Aires,3,Capital,20058,-34.6051,-58.4004,14966.53
10,Armenia,51,Yerevan,,Capital,20140,40.182,44.5146,1080.32
11,Aruba,533,Oranjestad,,Capital,21954,12.524,-70.027,29.88
12,Australia,36,Canberra,4,Capital,206175,-35.2835,149.1281,447.69
13,Austria,40,Wien (Vienna),,Capital,20107,48.2064,16.3707,1900.55
14,Azerbaijan,31,Baku,5,Capital,20053,40.3777,49.892,2285.73
15,Bahamas,44,Nassau,,Capital,20108,25.0582,-77.3431,279.67
16,Bahrain,48,Al-Manamah (Manama),6,Capital,20109,26.2154,50.5832,564.63
17,Bangladesh,50,Dhaka,7,Capital,20119,23.7104,90.4074,19578.42
18,Barbados,52,Bridgetown,,Capital,20141,13.1,-59.6167,89.2
19,Belarus,112,Minsk,5,Capital,20348,53.9,27.5667,2004.67
20,Belgium,56,Bruxelles-Brussel,8,Capital,20144,50.8467,4.3499,2049.51
21,Belize,84,Belmopan,,Capital,20310,17.25,-88.7667,22.96
22,Benin,204,Cotonou,,Economic Capital,20888,6.3654,2.4183,685.46
23,Benin,204,Porto-Novo,,Constitutional Capital,20891,6.4965,2.6036,285.33
24,Bermuda,60,Hamilton,,Capital,20150,32.2915,-64.778,10.07
25,Bhutan,64,Thimphu,,Capital,20151,27.4661,89.6419,203.3
26,Bolivia (Plurinational State of),68,La Paz,9,Seat of Government,20153,-16.5,-68.15,1814.09
27,Bolivia (Plurinational State of),68,Sucre,,Constitutional Capital,20158,-19.0333,-65.2627,277.91
28,Bosnia and Herzegovina,70,Sarajevo,10,Capital,20164,43.8486,18.3564,342.58
29,Botswana,72,Gaborone,,Capital,20167,-24.6545,25.9086,269.34
30,Brazil,76,Brasília,11,Capital,20187,-15.7797,-47.9297,4469.59
31,British Virgin Islands,92,Road Town,,Capital,20313,18.4167,-64.6167,15.14
32,Brunei Darussalam,96,Bandar Seri Begawan,,Capital,20314,4.9403,114.9481,40.78
33,Bulgaria,100,Sofia,,Capital,20327,42.6975,23.3242,1272.42
34,Burkina Faso,854,Ouagadougou,,Capital,23192,12.3642,-1.5383,2531.38
35,Burundi,108,Bujumbura,,Capital,20340,-3.3822,29.3644,898.97
36,Cabo Verde,132,Praia,,Capital,20408,14.9215,-23.5087,167.5
37,Cambodia,116,Phnum Pénh (Phnom Penh),12,Capital,20357,11.5625,104.916,1952.33
38,Cameroon,120,Yaoundé,,Capital,20365,3.8667,11.5167,3655.66
39,Canada,124,Ottawa-Gatineau,13,Capital,20387,45.4166,-75.698,1363.16
40,Caribbean Netherlands,535,Kralendijk,14,Capital,206155,12.15,-68.2667,11.31
41,Cayman Islands,136,George Town,,Capital,20409,19.2866,-81.3744,34.88
42,Central African Republic,140,Bangui,,Capital,20410,4.3612,18.555,850.95
43,Chad,148,N'Djaména,,Capital,20420,12.1067,15.0444,1322.68
44,Channel Islands,830,St. Helier,15,Capital,22891,49.188,-2.1049,34.39
45,Channel Islands,830,St. Peter Port,16,Capital,205428,49.4598,-2.5353,16.27
46,Chile,152,Santiago,17,Capital,20439,-33.4569,-70.6483,6680.37
47,China,156,Beijing,18,Capital,20464,39.9075,116.3972,19617.96
48,"China, Hong Kong SAR",344,Hong Kong,19,Capital,21137,22.2796,114.1887,7428.89
49,"China, Macao SAR",446,Macao,20,Capital,21791,22.2006,113.5461,632.42
50,"China, Taiwan Province of China",158,Taibei,,Others,895000149,25.047,121.5457,2705.79
51,Colombia,170,Bogotá,21,Capital,20837,4.6097,-74.0818,10574.41
52,Comoros,174,Moroni,,Capital,20847,-11.7022,43.2551,62.35
53,Congo,178,Brazzaville,,Capital,20848,-4.2658,15.2832,2229.69
54,Cook Islands,184,Rarotonga,22,Capital,20860,-21.23,-159.76,13.07
55,Costa Rica,188,San José,23,Capital,20861,9.9278,-84.0807,1357.75
56,Côte d'Ivoire,384,Abidjan,,Administrative Capital,21602,5.3453,-4.0268,4920.78
57,Côte d'Ivoire,384,Yamoussoukro,,Capital,21606,6.8206,-5.2767,231.07
58,Croatia,191,Zagreb,24,Capital,20865,45.8144,15.978,685.59
59,Cuba,192,La Habana (Havana),,Capital,20870,23.1195,-82.3785,2136.47
60,Curaçao,531,Willemstad,25,Capital,21953,12.1084,-68.9335,144.04
61,Cyprus,196,Lefkosia (Nicosia),,Capital,20880,35.1595,33.3669,269.47
62,Czechia,203,Praha (Prague),,Capital,20887,50.088,14.4208,1291.55
63,Dem. People's Republic of Korea,408,P'yongyang,,Capital,21722,39.0339,125.7543,3037.86
64,Democratic Republic of the Congo,180,Kinshasa,,Capital,20853,-4.3276,15.3136,13171.26
65,Denmark,208,København (Copenhagen),26,Capital,20894,55.6759,12.5655,1320.83
66,Djibouti,262,Djibouti,27,Capital,21005,11.5877,43.1447,561.56
67,Dominica,212,Roseau,,Capital,20896,15.3017,-61.3881,14.94
68,Dominican Republic,214,Santo Domingo,28,Capital,20898,18.4896,-69.9018,3172.15
69,Ecuador,218,Quito,,Capital,20910,-0.2299,-78.525,1822.4
70,Egypt,818,Al-Qahirah (Cairo),29,Capital,22812,30.0392,31.2394,20076
71,El Salvador,222,San Salvador,30,Capital,20917,13.6894,-89.1872,1106.7
72,Equatorial Guinea,226,Malabo,,Capital,20920,3.75,8.7833,296.77
73,Eritrea,232,Asmara,,Capital,20931,15.3333,38.9333,895.86
74,Estonia,233,Tallinn,,Capital,20932,59.437,24.7535,437.03
75,Ethiopia,231,Addis Ababa,,Capital,20921,9.025,38.7469,4399.67
76,Faeroe Islands,234,Tórshavn,,Capital,20934,62.0097,-6.7716,20.82
